,Season,Year,Player_name,Rank,Dpoy_titles,Dpoy_votes,First_votes,won_dpoy_last_season,teamates_with_dpoy,Points_won,Max_points,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP_100_poss,FG_100_poss,FGA_100_poss,FG%_100_poss,3P_100_poss,3PA_100_poss,3P%_100_poss,2P_100_poss,2PA_100_poss,2P%_100_poss,FT_100_poss,FTA_100_poss,FT%_100_poss,ORB_100_poss,DRB_100_poss,TRB_100_poss,AST_100_poss,STL_100_poss,BLK_100_poss,TOV_100_poss,PF_100_poss,PTS_100_poss,ORtg_100_poss,DRtg_100_poss,MP_advanced,PER_advanced,TS%_advanced,3PAr_advanced,FTr_advanced,ORB%_advanced,DRB%_advanced,TRB%_advanced,AST%_advanced,STL%_advanced,BLK%_advanced,TOV%_advanced,USG%_advanced,OWS_advanced,DWS_advanced,WS_advanced,WS/48_advanced,OBPM_advanced,DBPM_advanced,BPM_advanced,VORP_advanced,G_team,MP_team,FG_team,FGA_team,FG%_team,3P_team,3PA_team,3P%_team,2P_team,2PA_team,2P%_team,FT_team,FTA_team,FT%_team,ORB_team,DRB_team,TRB_team,AST_team,STL_team,BLK_team,TOV_team,PF_team,PTS_team,G_opponent,MP_opponent,FG_opponent,FGA_opponent,FG%_opponent,3P_opponent,3PA_opponent,3P%_opponent,2P_opponent,2PA_opponent,2P%_opponent,FT_opponent,FTA_opponent,FT%_opponent,ORB_opponent,DRB_opponent,TRB_opponent,AST_opponent,STL_opponent,BLK_opponent,TOV_opponent,PF_opponent,PTS_opponent,W_misc,L_misc,PW_misc,PL_misc,MOV_misc,SOS_misc,SRS_misc,ORtg_misc,DRtg_misc,Pace_misc,FTr_misc,3PAr_misc,eFG%_misc,TOV%_misc,ORB%_misc,FT/FGA_misc,eFG%.1_misc,TOV%.1_misc,DRB%_misc,FT/FGA.1_misc,Arena_misc,Attendance_misc,GP_espn,MPG_espn,ORPM_espn,DRPM_espn,RPM_espn,WINS_espn,poss_raptor,mp_raptor,raptor_offense_raptor,raptor_defense_raptor,raptor_total_raptor,war_total_raptor,war_reg_season_raptor,war_playoffs_raptor,predator_offense_raptor,predator_defense_raptor,predator_total_raptor,pace_impact_raptor,GP_nba,W_nba,L_nba,MIN_nba,DEF RTG_nba,DREB_nba,DREB%_nba,%DREB_nba,STL_nba,STL%_nba,BLK_nba,%BLK_nba,OPP PTS OFF TOV_nba,OPP PTS 2ND CHANCE_nba,OPP PTS FB_nba,OPP PTS PAINT_nba,DEF WS_nba,D-LEBRON_bball
0,1998-99,1999,Vince Carter,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,22,TOR,NBA,SF,50,49,35.2,6.9,15.3,0.45,0.4,1.3,0.288,6.5,14.0,0.466,0.463,4.1,5.4,0.761,1.9,3.8,5.7,3.0,1.1,1.5,2.2,2.8,18.3,1760,10.6,23.5,0.45,0.6,2.0,0.288,10.0,21.5,0.466,6.3,8.2,0.761,2.9,5.8,8.7,4.6,1.7,2.4,3.4,4.3,28.1,107,104,1760,19.6,0.516,0.086,0.35,6.1,12.6,9.3,17.2,1.7,3.3,11.1,25.6,3.6,1.4,5.0,0.136,3.1,-0.4,2.8,2.1,50.0,12075.0,1660.0,3940.0,0.421,226.0,662.0,0.341,1434.0,3278.0,0.437,1011.0,1330.0,0.76,712.0,1447.0,2159.0,1036.0,439.0,321.0,799.0,1139.0,4557.0,50.0,12075.0,1694.0,3855.0,0.439,255.0,686.0,0.372,1439.0,3169.0,0.454,996.0,1368.0,0.728,614.0,1393.0,2007.0,1095.0,446.0,258.0,773.0,1088.0,4639.0,23,27,22,28,-1.64,0.33,-1.32,102.0,103.9,88.8,0.338,0.168,0.45,15.0,33.8,0.257,0.473,14.8,70.2,0.258,Air Canada Centre,439190,50,35.2,1.49,1.47,2.96,7.16,3293,1760,1.49713104,-0.131713821,1.365417219,3.680630045,3.680630045,0.0,1.412598564,-0.10501412,1.307584444,-0.360848028,50,23,27,35.2,99.2,3.8,11.1,17.9,1.1,17.3,1.5,32.6,12.2,8.6,11.1,23.6,0.106,0.0
1,1999-00,2000,Vince Carter,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,23,TOR,NBA,SF,82,82,38.1,9.6,20.7,0.465,1.2,2.9,0.403,8.5,17.8,0.475,0.493,5.3,6.7,0.791,1.8,4.0,5.8,3.9,1.3,1.1,2.2,3.2,25.7,3126,13.1,28.2,0.465,1.6,3.9,0.403,11.5,24.2,0.475,7.2,9.2,0.791,2.5,5.4,7.9,5.3,1.8,1.5,3.0,4.4,35.0,112,105,3126,23.4,0.543,0.139,0.325,5.2,12.1,8.5,20.5,1.8,2.1,8.4,30.0,9.1,2.7,11.8,0.182,5.6,-0.1,5.5,5.9,82.0,19755.0,2980.0,6882.0,0.433,425.0,1171.0,0.363,2555.0,5711.0,0.447,1583.0,2068.0,0.765,1098.0,2449.0,3547.0,1947.0,666.0,544.0,1137.0,1989.0,7968.0,82.0,19755.0,3002.0,6615.0,0.454,346.0,1021.0,0.339,2656.0,5594.0,0.475,1631.0,2136.0,0.764,961.0,2552.0,3513.0,1790.0,557.0,434.0,1250.0,1874.0,7981.0,45,37,41,41,-0.16,-0.3,-0.46,104.7,104.9,92.5,0.3,0.17,0.464,12.7,30.1,0.23,0.48,14.2,71.8,0.247,Air Canada Centre,756496,82,38.1,3.88,0.24,4.12,13.97,6309,3245,3.578793098,0.129757958,3.708551057,10.66947951,10.34618297,0.323296542,3.59713295,0.384434097,3.981567047,-0.24314584,82,45,37,38.1,102.3,4.0,10.7,16.6,1.3,21.0,1.1,21.0,11.3,10.8,13.9,31.2,0.1,0.0
2,2000-01,2001,Vince Carter,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,24,TOR,NBA,SF,75,75,39.7,10.2,22.1,0.46,2.2,5.3,0.408,8.0,16.8,0.477,0.509,5.1,6.7,0.765,2.3,3.2,5.5,3.9,1.5,1.1,2.2,2.7,27.6,2979,13.5,29.3,0.46,2.9,7.0,0.408,10.6,22.3,0.477,6.8,8.9,0.765,3.1,4.3,7.4,5.2,2.0,1.5,3.0,3.6,36.7,114,104,2979,25.0,0.551,0.24,0.303,6.5,9.3,7.9,19.2,2.0,1.9,8.2,30.7,10.3,2.6,12.9,0.208,7.6,0.1,7.6,7.2,82.0,19955.0,3048.0,6972.0,0.437,429.0,1164.0,0.369,2619.0,5808.0,0.451,1482.0,1984.0,0.747,1118.0,2529.0,3647.0,2004.0,599.0,519.0,1080.0,1745.0,8007.0,82.0,19955.0,3009.0,6725.0,0.447,379.0,1045.0,0.363,2630.0,5680.0,0.463,1425.0,1890.0,0.754,926.0,2511.0,3437.0,1696.0,561.0,439.0,1156.0,1792.0,7822.0,47,35,48,34,2.26,-0.57,1.69,105.9,103.4,90.9,0.285,0.167,0.468,12.1,30.8,0.213,0.476,13.3,73.2,0.212,Air Canada Centre,793256,75,39.7,5.2,0.68,5.88,17.18,6693,3518,6.314806428,0.475362345,6.790168773,17.15199876,14.46476288,2.687235884,6.575931502,0.785745162,7.361676664,-0.283739758,75,45,30,39.7,100.5,3.2,8.1,12.7,1.5,24.7,1.1,20.3,11.4,10.6,13.5,31.3,0.117,0.0
3,2001-02,2002,Vince Carter,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,25,TOR,NBA,SG,60,60,39.8,9.3,21.8,0.428,2.0,5.2,0.387,7.3,16.6,0.441,0.474,4.1,5.1,0.798,2.3,2.9,5.2,4.0,1.6,0.7,2.6,3.2,24.7,2385,12.7,29.6,0.428,2.7,7.1,0.387,9.9,22.5,0.441,5.6,7.0,0.798,3.1,4.0,7.1,5.4,2.1,1.0,3.5,4.3,33.6,107,105,2385,20.5,0.515,0.239,0.235,6.4,8.7,7.5,19.9,2.1,1.3,9.6,30.5,4.6,2.4,7.0,0.14,4.7,-0.3,4.4,3.9,82.0,19755.0,2919.0,6727.0,0.434,387.0,1109.0,0.349,2532.0,5618.0,0.451,1269.0,1717.0,0.739,1114.0,2336.0,3450.0,1779.0,688.0,454.0,1174.0,1771.0,7494.0,82.0,19755.0,2820.0,6390.0,0.441,377.0,1089.0,0.346,2443.0,5301.0,0.461,1513.0,2011.0,0.752,995.0,2436.0,3431.0,1629.0,628.0,393.0,1250.0,1612.0,7530.0,42,40,40,42,-0.44,-0.27,-0.71,102.6,103.1,88.8,0.255,0.165,0.463,13.6,31.4,0.189,0.471,14.7,70.1,0.237,Air Canada Centre,810160,60,39.8,3.18,0.32,3.5,9.5,4463,2385,3.560598519,-0.011410584,3.549187935,7.669358807,7.669358807,0.0,3.684698696,0.486216468,4.170915164,0.051929918,60,30,30,39.8,101.1,2.9,7.4,12.2,1.6,22.5,0.8,15.2,12.3,11.3,13.9,30.2,0.13,0.0
4,2002-03,2003,Vince Carter,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,26,TOR,NBA,SG,43,42,34.2,8.3,17.7,0.467,1.0,3.0,0.344,7.2,14.6,0.493,0.497,3.0,3.7,0.806,1.4,3.0,4.4,3.3,1.1,1.0,1.7,2.8,20.6,1471,12.9,27.6,0.467,1.6,4.8,0.344,11.3,22.8,0.493,4.7,5.8,0.806,2.1,4.7,6.8,5.2,1.7,1.5,2.7,4.4,32.1,109,108,1471,21.9,0.532,0.172,0.211,4.4,10.4,7.3,20.4,1.7,2.0,8.2,28.1,3.4,0.8,4.2,0.136,4.7,-0.2,4.5,2.4,82.0,19805.0,2847.0,6664.0,0.427,409.0,1193.0,0.343,2438.0,5471.0,0.446,1350.0,1879.0,0.718,1023.0,2355.0,3378.0,1583.0,609.0,392.0,1181.0,1761.0,7453.0,82.0,19805.0,3037.0,6592.0,0.461,370.0,986.0,0.375,2667.0,5606.0,0.476,1490.0,1964.0,0.759,976.0,2601.0,3577.0,1729.0,604.0,406.0,1125.0,1702.0,7934.0,24,58,24,58,-5.87,-0.23,-6.1,100.5,107.0,89.9,0.282,0.179,0.458,13.6,28.2,0.203,0.489,13.1,70.7,0.226,Air Canada Centre,777507,43,34.2,2.9,0.46,3.36,6.27,2787,1471,3.424543879,0.035932943,3.460476821,4.656617455,4.656617455,0.0,3.043297679,0.242449121,3.2857468,-0.086363225,43,18,25,34.2,103.4,3.0,9.0,14.0,1.1,22.2,1.0,27.7,9.3,9.7,12.5,30.3,0.076,0.0
5,2003-04,2004,Vince Carter,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,27,TOR,NBA,SG,73,73,38.2,8.3,20.0,0.417,1.3,3.3,0.383,7.1,16.6,0.424,0.449,4.6,5.7,0.806,1.3,3.5,4.8,4.8,1.2,0.9,3.1,2.9,22.5,2785,12.1,28.9,0.417,1.8,4.8,0.383,10.2,24.1,0.424,6.7,8.3,0.806,1.9,5.0,6.9,6.9,1.7,1.3,4.4,4.2,32.7,99,102,2785,20.0,0.501,0.167,0.286,3.9,10.6,7.2,28.0,1.7,1.7,12.0,32.5,2.6,3.4,6.0,0.103,3.5,0.2,3.6,3.9,82.0,19980.0,2654.0,6348.0,0.418,461.0,1294.0,0.356,2193.0,5054.0,0.434,1237.0,1650.0,0.75,830.0,2419.0,3249.0,1574.0,604.0,402.0,1164.0,1748.0,7006.0,82.0,19980.0,2722.0,6365.0,0.428,273.0,889.0,0.307,2449.0,5476.0,0.447,1536.0,2055.0,0.747,1034.0,2662.0,3696.0,1518.0,590.0,333.0,1196.0,1619.0,7253.0,33,49,31,51,-3.01,-0.4,-3.42,97.0,100.4,86.8,0.26,0.204,0.454,14.1,23.8,0.195,0.449,14.1,70.1,0.241,Air Canada Centre,750608,73,38.2,1.94,1.16,3.1,11.71,5094,2785,1.861929041,0.936808579,2.79873762,7.873971827,7.873971827,0.0,1.656811166,0.850433342,2.507244508,-0.118754367,73,33,40,38.2,98.5,3.5,9.2,15.0,1.2,20.8,0.9,22.1,10.5,11.5,8.5,30.3,0.136,0.0
6,2004-05,2005,Vince Carter,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,28,TOR,NBA,SG,20,20,30.4,6.2,15.1,0.411,1.0,3.0,0.322,5.3,12.2,0.432,0.442,2.5,3.6,0.694,1.4,1.9,3.3,3.1,1.3,0.8,1.1,2.8,15.9,608,10.6,25.7,0.411,1.6,5.0,0.322,8.9,20.7,0.432,4.3,6.1,0.694,2.4,3.2,5.6,5.2,2.1,1.3,1.9,4.8,27.0,102,109,608,17.0,0.475,0.195,0.238,5.1,7.2,6.1,18.5,2.1,1.8,6.2,26.7,0.5,0.4,0.9,0.068,1.9,0.4,2.3,0.7,82.0,19805.0,2952.0,6656.0,0.444,648.0,1681.0,0.385,2304.0,4975.0,0.463,1626.0,2101.0,0.774,844.0,2444.0,3288.0,1670.0,621.0,317.0,1087.0,1876.0,8178.0,82.0,19805.0,3133.0,6708.0,0.467,435.0,1222.0,0.356,2698.0,5486.0,0.492,1610.0,2165.0,0.744,991.0,2720.0,3711.0,1814.0,507.0,360.0,1182.0,1795.0,8311.0,33,49,36,46,-1.62,-0.19,-1.81,106.9,108.7,92.7,0.316,0.253,0.492,12.5,23.7,0.244,0.499,13.4,71.1,0.24,Air Canada Centre,703388,77,36.7,3.18,1.3,4.48,14.33,5701,3007,2.703036445,0.691681607,3.394718052,9.575629156,9.222563337,0.353065818,2.754748882,0.981041993,3.735790875,0.912822418,77,40,37,36.9,101.5,3.8,11.0,17.3,1.4,22.8,0.6,21.6,10.1,9.8,8.8,26.0,0.133,0.0
7,2004-05,2005,Vince Carter,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,28,NJN,NBA,SF,57,56,38.9,10.0,21.7,0.462,1.9,4.5,0.425,8.1,17.3,0.471,0.505,5.6,6.8,0.817,1.4,4.5,5.9,4.7,1.5,0.6,2.6,3.3,27.5,2220,13.9,30.1,0.462,2.6,6.2,0.425,11.3,23.9,0.471,7.7,9.4,0.817,1.9,6.2,8.1,6.5,2.0,0.8,3.5,4.5,38.1,110,103,2220,24.5,0.556,0.205,0.313,4.2,14.1,9.1,27.6,2.0,1.2,9.4,32.9,5.4,3.1,8.5,0.184,6.2,0.8,7.0,5.1,82.0,19905.0,2753.0,6419.0,0.429,435.0,1203.0,0.362,2318.0,5216.0,0.444,1555.0,2039.0,0.763,855.0,2387.0,3242.0,1772.0,650.0,308.0,1164.0,1985.0,7496.0,82.0,19905.0,2710.0,6167.0,0.439,485.0,1319.0,0.368,2225.0,4848.0,0.459,1714.0,2304.0,0.744,874.0,2503.0,3377.0,1666.0,601.0,402.0,1283.0,1881.0,7619.0,42,40,36,46,-1.5,-0.32,-1.82,101.4,103.1,89.1,0.318,0.187,0.463,13.7,25.5,0.242,0.479,15.2,73.2,0.278,Continental Airlines Arena,618681,77,36.7,3.18,1.3,4.48,14.33,5701,3007,2.703036445,0.691681607,3.394718052,9.575629156,9.222563337,0.353065818,2.754748882,0.981041993,3.735790875,0.912822418,77,40,37,36.9,101.5,3.8,11.0,17.3,1.4,22.8,0.6,21.6,10.1,9.8,8.8,26.0,0.133,0.0
8,2005-06,2006,Vince Carter,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,29,NJN,NBA,SG,79,79,36.8,8.3,19.2,0.43,1.6,4.6,0.341,6.7,14.6,0.459,0.471,6.1,7.6,0.799,1.7,4.1,5.8,4.3,1.2,0.7,2.7,3.0,24.2,2906,12.0,27.9,0.43,2.3,6.7,0.341,9.7,21.2,0.459,8.8,11.0,0.799,2.5,6.0,8.5,6.2,1.7,1.0,3.9,4.3,35.1,107,102,2906,21.6,0.536,0.242,0.396,5.4,13.4,9.3,24.4,1.7,1.5,10.7,32.3,4.9,4.4,9.3,0.153,4.5,0.5,5.1,5.2,82.0,19780.0,2778.0,6317.0,0.44,477.0,1447.0,0.33,2301.0,4870.0,0.472,1658.0,2187.0,0.758,822.0,2539.0,3361.0,1884.0,558.0,278.0,1119.0,1903.0,7691.0,82.0,19780.0,2730.0,6222.0,0.439,465.0,1336.0,0.348,2265.0,4886.0,0.464,1654.0,2232.0,0.741,787.0,2599.0,3386.0,1641.0,589.0,329.0,1177.0,1889.0,7579.0,49,33,45,37,1.37,-0.26,1.11,103.9,102.4,89.8,0.346,0.229,0.478,13.3,24.0,0.262,0.476,14.0,76.3,0.266,Continental Airlines Arena,691543,79,36.8,3.41,1.92,5.33,15.95,6337,3356,3.485970227,2.040300571,5.526270798,14.28880312,11.30946041,2.979342709,3.602686839,1.925365298,5.528052138,0.057248908,79,49,30,36.8,98.7,4.1,11.6,17.1,1.2,23.4,0.7,24.2,10.4,8.1,8.5,25.8,0.167,0.0
9,2006-07,2007,Vince Carter,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,30,NJN,NBA,SG,82,82,38.1,8.9,19.5,0.454,1.9,5.3,0.357,7.0,14.2,0.491,0.503,5.6,7.0,0.802,1.4,4.6,6.0,4.8,1.0,0.4,2.6,3.2,25.2,3126,12.2,26.9,0.454,2.6,7.3,0.357,9.6,19.5,0.491,7.8,9.7,0.802,1.9,6.4,8.3,6.6,1.4,0.5,3.6,4.5,34.8,111,107,3126,21.8,0.559,0.273,0.36,4.3,14.2,9.3,25.1,1.4,0.8,10.5,30.8,7.4,3.1,10.5,0.161,4.3,-0.4,3.9,4.6,82.0,19880.0,2913.0,6379.0,0.457,609.0,1676.0,0.363,2304.0,4703.0,0.49,1566.0,2153.0,0.727,822.0,2525.0,3347.0,1962.0,499.0,273.0,1212.0,1869.0,8001.0,82.0,19880.0,2911.0,6476.0,0.45,519.0,1455.0,0.357,2392.0,5021.0,0.476,1723.0,2261.0,0.762,867.0,2526.0,3393.0,1805.0,584.0,369.0,1188.0,1886.0,8064.0,41,41,39,43,-0.77,-0.23,-1.0,105.7,106.6,91.4,0.338,0.263,0.504,14.2,24.6,0.245,0.49,13.7,74.4,0.266,Continental Airlines Arena,693955,82,38.1,4.02,-0.47,3.55,14.23,6931,3613,3.871299928,-0.433885964,3.437413964,11.42655451,10.46360362,0.962950897,3.91938032,0.082998945,4.002379265,0.068583191,82,41,41,38.1,104.7,4.6,12.7,18.8,1.0,21.0,0.4,14.3,12.6,9.3,8.8,27.7,0.107,0.0
